,event_0,event_1,event_2,event_3,event_4
time_epoch,1614137538.099749,1614137540.2668731,1614137542.4279966,1614137544.6261222,1614137546.7922463
0,54.0,53.0,51.0,51.0,53.0
1,51.0,52.0,54.0,52.0,53.0
2,53.0,52.0,50.0,53.0,53.0
3,54.0,54.0,52.0,53.0,53.0
4,53.0,52.0,53.0,53.0,53.0
5,52.0,53.0,52.0,51.0,52.0
6,50.0,53.0,52.0,52.0,54.0
7,52.0,52.0,53.0,53.0,52.0
8,51.0,53.0,52.0,54.0,53.0
9,52.0,53.0,51.0,52.0,53.0
10,53.0,52.0,51.0,55.0,52.0
11,51.0,53.0,55.0,52.0,53.0
12,53.0,52.0,52.0,52.0,53.0
13,53.0,54.0,53.0,53.0,53.0
14,53.0,54.0,52.0,52.0,53.0
15,54.0,53.0,53.0,50.0,52.0
16,51.0,54.0,54.0,53.0,51.0
17,53.0,52.0,52.0,52.0,55.0
18,54.0,53.0,55.0,52.0,53.0
19,51.0,54.0,52.0,53.0,53.0
20,53.0,52.0,54.0,51.0,53.0
21,50.0,54.0,55.0,52.0,52.0
22,53.0,52.0,54.0,52.0,54.0
23,52.0,53.0,53.0,55.0,53.0
24,52.0,54.0,53.0,53.0,53.0
25,51.0,52.0,51.0,50.0,54.0
26,52.0,54.0,54.0,52.0,53.0
27,53.0,52.0,52.0,52.0,52.0
28,52.0,53.0,52.0,51.0,52.0
29,54.0,53.0,52.0,51.0,52.0
30,54.0,53.0,53.0,51.0,52.0
31,51.0,53.0,52.0,54.0,52.0
32,54.0,54.0,52.0,55.0,50.0
33,53.0,53.0,53.0,52.0,53.0
34,53.0,53.0,52.0,53.0,52.0
35,53.0,55.0,52.0,51.0,52.0
36,50.0,51.0,54.0,53.0,52.0
37,52.0,54.0,54.0,52.0,52.0
38,53.0,52.0,53.0,52.0,52.0
39,52.0,53.0,51.0,52.0,53.0
40,53.0,53.0,53.0,52.0,52.0
41,51.0,53.0,53.0,53.0,53.0
42,52.0,50.0,52.0,51.0,53.0
43,54.0,51.0,51.0,52.0,53.0
44,53.0,51.0,53.0,54.0,52.0
45,52.0,53.0,52.0,52.0,50.0
46,52.0,52.0,51.0,53.0,53.0
47,52.0,52.0,52.0,52.0,52.0
48,53.0,52.0,52.0,51.0,54.0
49,53.0,50.0,51.0,51.0,53.0
50,53.0,53.0,54.0,52.0,52.0
51,53.0,54.0,52.0,53.0,55.0
52,53.0,53.0,52.0,52.0,53.0
53,53.0,51.0,55.0,52.0,53.0
54,53.0,53.0,53.0,53.0,53.0
55,50.0,51.0,52.0,52.0,51.0
56,53.0,50.0,53.0,53.0,52.0
57,53.0,53.0,53.0,53.0,51.0
58,52.0,51.0,52.0,53.0,52.0
59,52.0,52.0,50.0,51.0,54.0
60,53.0,52.0,52.0,51.0,52.0
61,52.0,52.0,53.0,52.0,52.0
62,53.0,51.0,52.0,52.0,52.0
63,52.0,51.0,53.0,53.0,53.0
64,51.0,52.0,53.0,53.0,54.0
65,54.0,51.0,54.0,53.0,52.0
66,52.0,51.0,53.0,54.0,55.0
67,52.0,53.0,53.0,51.0,53.0
68,52.0,54.0,54.0,52.0,53.0
69,52.0,53.0,54.0,52.0,53.0
70,52.0,53.0,52.0,52.0,52.0
71,51.0,52.0,52.0,53.0,53.0
72,53.0,52.0,52.0,54.0,53.0
73,53.0,52.0,53.0,53.0,52.0
74,52.0,52.0,54.0,51.0,54.0
75,54.0,53.0,53.0,52.0,50.0
76,52.0,55.0,51.0,54.0,53.0
77,53.0,52.0,52.0,54.0,52.0
78,54.0,53.0,51.0,52.0,52.0
79,53.0,52.0,52.0,55.0,52.0
80,52.0,51.0,53.0,52.0,51.0
81,52.0,53.0,51.0,54.0,52.0
82,54.0,52.0,52.0,53.0,52.0
83,53.0,49.0,50.0,50.0,52.0
84,53.0,52.0,54.0,53.0,51.0
85,53.0,51.0,53.0,51.0,53.0
86,54.0,52.0,53.0,52.0,53.0
87,53.0,52.0,53.0,52.0,51.0
88,53.0,52.0,54.0,52.0,52.0
89,55.0,52.0,52.0,53.0,54.0
90,52.0,50.0,52.0,53.0,55.0
91,52.0,53.0,51.0,51.0,51.0
92,53.0,51.0,54.0,52.0,52.0
93,53.0,50.0,53.0,53.0,53.0
94,54.0,51.0,53.0,53.0,52.0
95,54.0,51.0,54.0,51.0,53.0
96,55.0,51.0,52.0,52.0,53.0
97,54.0,51.0,52.0,52.0,52.0
98,54.0,54.0,53.0,52.0,52.0
99,56.0,52.0,53.0,52.0,52.0
100,53.0,52.0,54.0,52.0,52.0
101,52.0,52.0,51.0,49.0,54.0
102,47.0,39.0,44.0,19.0,28.0
103,-97.0,-33.0,-100.0,-94.0,-77.0
104,-127.0,-68.0,-127.0,-99.0,-116.0
105,-127.0,-26.0,-127.0,-26.0,-53.0
106,-127.0,20.0,-127.0,23.0,13.0
107,-38.0,39.0,-31.0,33.0,31.0
