,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49
time_epoch,1614275639.6847079,1614275642.0728445,1614275644.2299678,1614275646.400092,1614275648.567216,1614275650.7283394,1614275652.953467,1614275655.1135902,1614275657.2787142,1614275659.4398377,1614275661.5999613,1614275663.7760859,1614275665.9392097,1614275668.097333,1614275670.2584565,1614275672.4175801,1614275674.586704,1614275676.751828,1614275678.9109514,1614275681.0800755,1614275683.2461996,1614275685.406323,1614275687.5694466,1614275689.7385707,1614275691.8986945,1614275694.0638182,1614275696.2309422,1614275698.3920658,1614275700.5571897,1614275702.7763164,1614275704.9354398,1614275707.0945635,1614275709.2536871,1614275711.4218109,1614275713.590935,1614275715.753059,1614275717.9671855,1614275720.1323092,1614275722.2914326,1614275724.4685574,1614275726.633681,1614275728.7948048,1614275730.9629285,1614275733.1260524,1614275735.2841759,1614275737.4452994,1614275739.6734269,1614275741.8415508,1614275744.0016744,1614275746.177799
0,53.0,53.0,52.0,53.0,53.0,54.0,50.0,52.0,52.0,53.0,53.0,54.0,50.0,51.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,54.0,53.0,53.0,54.0,53.0,50.0,52.0,53.0,49.0,51.0,51.0,52.0,53.0,51.0,51.0,51.0,55.0,53.0,54.0,54.0,54.0,53.0,52.0,51.0,53.0,53.0,54.0,52.0
1,54.0,51.0,52.0,51.0,51.0,50.0,53.0,51.0,53.0,54.0,55.0,52.0,52.0,53.0,53.0,53.0,50.0,52.0,54.0,52.0,52.0,51.0,50.0,52.0,53.0,53.0,52.0,53.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,51.0,51.0,55.0,52.0,50.0,54.0,52.0,51.0,53.0,51.0,52.0,55.0,53.0,53.0
2,53.0,54.0,52.0,53.0,52.0,53.0,53.0,50.0,52.0,53.0,53.0,52.0,53.0,53.0,54.0,51.0,51.0,52.0,51.0,53.0,52.0,53.0,52.0,52.0,53.0,55.0,53.0,52.0,54.0,54.0,52.0,51.0,50.0,51.0,53.0,51.0,52.0,52.0,53.0,53.0,52.0,53.0,54.0,52.0,52.0,53.0,52.0,53.0,54.0,52.0
3,53.0,51.0,51.0,52.0,52.0,51.0,51.0,54.0,51.0,53.0,53.0,50.0,52.0,52.0,53.0,51.0,52.0,51.0,56.0,50.0,52.0,51.0,53.0,53.0,51.0,54.0,54.0,53.0,52.0,54.0,51.0,51.0,52.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,53.0,55.0,52.0,53.0,52.0,53.0,53.0,54.0,53.0,53.0
4,51.0,51.0,50.0,53.0,53.0,53.0,54.0,54.0,53.0,55.0,55.0,52.0,52.0,53.0,53.0,54.0,56.0,52.0,53.0,51.0,52.0,51.0,53.0,52.0,53.0,50.0,53.0,54.0,53.0,52.0,53.0,50.0,52.0,53.0,53.0,50.0,52.0,53.0,55.0,52.0,52.0,54.0,54.0,54.0,50.0,53.0,53.0,53.0,54.0,51.0
5,53.0,52.0,50.0,51.0,52.0,55.0,54.0,50.0,53.0,50.0,54.0,53.0,53.0,51.0,53.0,52.0,50.0,52.0,54.0,51.0,52.0,55.0,54.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,51.0,52.0,52.0,50.0,53.0,50.0,54.0,51.0,51.0,51.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,54.0,52.0,53.0
6,52.0,53.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,51.0,54.0,51.0,55.0,51.0,52.0,53.0,53.0,53.0,54.0,52.0,51.0,54.0,52.0,51.0,52.0,54.0,52.0,52.0,54.0,50.0,53.0,51.0,52.0,54.0,54.0,53.0,53.0,52.0,54.0,51.0,53.0,54.0,52.0,51.0,53.0,54.0,51.0,53.0,52.0,52.0
7,52.0,53.0,53.0,54.0,54.0,54.0,53.0,52.0,51.0,53.0,53.0,51.0,52.0,52.0,54.0,54.0,51.0,52.0,51.0,51.0,52.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,53.0,52.0,52.0,50.0,53.0,55.0,51.0,51.0,55.0,52.0,55.0,52.0,51.0,52.0,52.0,51.0,53.0,52.0,52.0,50.0,53.0,52.0
8,52.0,51.0,52.0,50.0,52.0,53.0,51.0,52.0,52.0,53.0,53.0,52.0,51.0,50.0,52.0,54.0,50.0,51.0,54.0,52.0,53.0,53.0,52.0,55.0,53.0,53.0,53.0,52.0,49.0,55.0,52.0,50.0,49.0,54.0,51.0,51.0,51.0,52.0,53.0,53.0,51.0,53.0,51.0,51.0,54.0,52.0,51.0,52.0,50.0,53.0
9,50.0,53.0,54.0,51.0,54.0,51.0,51.0,48.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,51.0,51.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,55.0,54.0,54.0,53.0,54.0,53.0,54.0,51.0,51.0,53.0,50.0,54.0,52.0,55.0,52.0,53.0,51.0,52.0,53.0,53.0,54.0,50.0,53.0,53.0,52.0
10,53.0,52.0,54.0,53.0,53.0,53.0,54.0,50.0,53.0,52.0,52.0,52.0,51.0,50.0,52.0,51.0,52.0,52.0,52.0,53.0,54.0,52.0,52.0,54.0,54.0,53.0,54.0,51.0,52.0,55.0,52.0,53.0,52.0,53.0,51.0,51.0,51.0,51.0,53.0,52.0,55.0,52.0,53.0,53.0,52.0,51.0,52.0,52.0,55.0,54.0
11,53.0,53.0,53.0,53.0,54.0,52.0,54.0,55.0,52.0,54.0,54.0,53.0,54.0,52.0,55.0,53.0,53.0,50.0,53.0,52.0,54.0,53.0,51.0,55.0,52.0,54.0,51.0,51.0,52.0,52.0,53.0,51.0,51.0,53.0,53.0,52.0,50.0,52.0,53.0,53.0,52.0,54.0,54.0,52.0,53.0,53.0,53.0,53.0,55.0,54.0
12,53.0,55.0,52.0,54.0,53.0,54.0,53.0,48.0,51.0,54.0,53.0,52.0,52.0,52.0,55.0,51.0,53.0,52.0,53.0,53.0,54.0,53.0,54.0,51.0,52.0,50.0,55.0,53.0,52.0,55.0,53.0,54.0,54.0,52.0,51.0,53.0,53.0,52.0,52.0,54.0,53.0,55.0,50.0,53.0,53.0,52.0,52.0,53.0,53.0,51.0
13,51.0,51.0,53.0,53.0,53.0,53.0,51.0,52.0,51.0,50.0,53.0,52.0,51.0,51.0,52.0,50.0,52.0,51.0,54.0,51.0,54.0,53.0,53.0,53.0,52.0,53.0,53.0,50.0,52.0,52.0,53.0,52.0,52.0,55.0,52.0,51.0,52.0,55.0,53.0,53.0,53.0,54.0,50.0,51.0,54.0,51.0,53.0,53.0,53.0,54.0
14,53.0,52.0,52.0,52.0,54.0,53.0,51.0,53.0,51.0,53.0,53.0,52.0,54.0,53.0,53.0,54.0,52.0,54.0,53.0,51.0,52.0,52.0,52.0,52.0,52.0,54.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,54.0,53.0,52.0,53.0,53.0,53.0,51.0,52.0,54.0,50.0,53.0,50.0
15,54.0,53.0,52.0,51.0,55.0,52.0,51.0,52.0,52.0,53.0,52.0,52.0,50.0,52.0,51.0,53.0,52.0,53.0,52.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,54.0,52.0,53.0,52.0,50.0,53.0,53.0,53.0,51.0,53.0,54.0,53.0,51.0,51.0,51.0,53.0,52.0,53.0,53.0,54.0,52.0
16,52.0,52.0,53.0,51.0,55.0,53.0,51.0,53.0,51.0,55.0,54.0,51.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,51.0,53.0,52.0,52.0,52.0,53.0,50.0,50.0,52.0,53.0,51.0,55.0,52.0,52.0,51.0,54.0,52.0,51.0,53.0,54.0,52.0,51.0,54.0,52.0,53.0,51.0,51.0,51.0,52.0,53.0,53.0
17,53.0,51.0,53.0,53.0,53.0,54.0,53.0,51.0,52.0,53.0,53.0,53.0,52.0,54.0,52.0,51.0,51.0,53.0,52.0,54.0,53.0,52.0,54.0,50.0,52.0,53.0,53.0,52.0,52.0,54.0,54.0,54.0,51.0,53.0,53.0,52.0,53.0,54.0,51.0,52.0,51.0,51.0,53.0,53.0,51.0,50.0,52.0,54.0,51.0,53.0
18,52.0,52.0,53.0,51.0,52.0,52.0,51.0,50.0,51.0,53.0,53.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,55.0,52.0,55.0,51.0,52.0,53.0,52.0,50.0,51.0,52.0,50.0,52.0,53.0,53.0,52.0,51.0,51.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,51.0,52.0,51.0,50.0,53.0,52.0,52.0,53.0
19,49.0,55.0,55.0,51.0,52.0,54.0,52.0,52.0,52.0,53.0,54.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,54.0,53.0,51.0,50.0,51.0,52.0,54.0,51.0,50.0,53.0,53.0,54.0,53.0,53.0,53.0,51.0,51.0,50.0,53.0,52.0,55.0,54.0,53.0,52.0,54.0,52.0,51.0,51.0,53.0,52.0,52.0,52.0
20,53.0,51.0,52.0,54.0,53.0,53.0,54.0,52.0,52.0,51.0,51.0,53.0,51.0,53.0,53.0,50.0,53.0,52.0,54.0,52.0,51.0,53.0,54.0,53.0,52.0,55.0,51.0,50.0,51.0,54.0,54.0,53.0,52.0,53.0,54.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,53.0,52.0,51.0,51.0
21,52.0,54.0,53.0,53.0,52.0,54.0,53.0,52.0,54.0,56.0,53.0,51.0,53.0,52.0,53.0,54.0,53.0,49.0,54.0,53.0,53.0,52.0,54.0,53.0,52.0,54.0,52.0,54.0,51.0,52.0,53.0,53.0,53.0,51.0,52.0,53.0,55.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0,53.0,52.0,51.0,52.0,53.0
22,52.0,52.0,54.0,53.0,52.0,53.0,52.0,51.0,51.0,54.0,51.0,54.0,52.0,53.0,53.0,52.0,52.0,51.0,50.0,53.0,54.0,54.0,53.0,51.0,52.0,53.0,53.0,52.0,52.0,53.0,51.0,53.0,51.0,50.0,50.0,52.0,54.0,52.0,52.0,55.0,53.0,50.0,52.0,54.0,51.0,52.0,54.0,54.0,53.0,51.0
23,54.0,53.0,55.0,52.0,52.0,53.0,53.0,53.0,51.0,55.0,52.0,49.0,53.0,51.0,53.0,53.0,54.0,53.0,52.0,52.0,52.0,55.0,51.0,55.0,52.0,52.0,53.0,54.0,52.0,53.0,54.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,51.0,54.0,53.0,52.0,52.0,51.0,53.0,53.0,54.0,52.0,52.0
24,51.0,52.0,53.0,52.0,54.0,52.0,53.0,51.0,50.0,52.0,53.0,54.0,54.0,55.0,53.0,50.0,54.0,53.0,51.0,53.0,53.0,50.0,52.0,53.0,54.0,55.0,52.0,55.0,53.0,51.0,52.0,53.0,51.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,54.0,53.0,53.0,51.0,53.0,52.0,53.0,52.0,53.0,54.0
25,52.0,51.0,52.0,54.0,53.0,52.0,52.0,53.0,51.0,53.0,52.0,53.0,52.0,53.0,53.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,52.0,53.0,52.0,51.0,53.0,53.0,51.0,53.0,53.0,51.0,51.0,53.0,51.0,51.0,53.0,53.0,53.0,53.0,51.0,52.0,53.0,52.0,52.0,54.0,52.0,52.0
26,51.0,52.0,53.0,54.0,52.0,56.0,53.0,51.0,53.0,53.0,52.0,51.0,53.0,54.0,54.0,52.0,55.0,53.0,53.0,53.0,52.0,53.0,52.0,54.0,52.0,51.0,52.0,53.0,54.0,54.0,55.0,52.0,51.0,49.0,53.0,51.0,52.0,52.0,53.0,53.0,52.0,55.0,52.0,53.0,53.0,51.0,53.0,53.0,54.0,53.0
27,52.0,52.0,52.0,53.0,53.0,57.0,52.0,51.0,51.0,52.0,52.0,51.0,50.0,51.0,52.0,51.0,54.0,54.0,53.0,51.0,55.0,52.0,52.0,51.0,52.0,52.0,53.0,53.0,52.0,55.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,53.0,53.0,52.0,53.0,54.0,53.0,51.0,55.0,53.0,55.0,52.0
28,54.0,51.0,54.0,52.0,51.0,54.0,52.0,53.0,55.0,53.0,53.0,52.0,50.0,54.0,52.0,54.0,52.0,51.0,52.0,51.0,52.0,51.0,54.0,54.0,53.0,55.0,51.0,53.0,52.0,52.0,52.0,50.0,53.0,53.0,53.0,52.0,51.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,54.0,52.0,53.0,54.0,51.0,53.0
29,52.0,54.0,50.0,52.0,53.0,52.0,52.0,53.0,53.0,52.0,51.0,51.0,52.0,53.0,52.0,54.0,53.0,52.0,54.0,53.0,51.0,51.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0,53.0,52.0,52.0,52.0,54.0,51.0,53.0,51.0,52.0,54.0,53.0,52.0,53.0,53.0,53.0,53.0
30,53.0,52.0,52.0,53.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0,53.0,52.0,51.0,52.0,52.0,51.0,52.0,53.0,51.0,53.0,53.0,52.0,54.0,53.0,52.0,52.0,52.0,54.0,52.0,51.0,52.0,52.0,53.0,51.0,52.0,53.0,53.0,52.0,53.0,54.0,51.0,52.0,52.0,52.0,53.0,54.0,55.0,55.0,52.0
31,53.0,53.0,54.0,51.0,53.0,52.0,54.0,53.0,53.0,52.0,55.0,52.0,52.0,55.0,52.0,52.0,54.0,54.0,53.0,52.0,53.0,52.0,53.0,51.0,52.0,51.0,51.0,55.0,53.0,52.0,54.0,51.0,52.0,54.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,51.0,51.0,51.0,53.0,53.0,52.0,53.0,53.0
32,53.0,54.0,52.0,51.0,50.0,52.0,53.0,52.0,50.0,53.0,53.0,52.0,51.0,53.0,52.0,54.0,52.0,54.0,54.0,53.0,54.0,52.0,53.0,52.0,52.0,53.0,52.0,55.0,51.0,51.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,53.0,55.0,52.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,54.0,52.0,52.0
33,52.0,52.0,54.0,52.0,52.0,51.0,52.0,53.0,54.0,53.0,53.0,51.0,52.0,53.0,54.0,52.0,53.0,52.0,51.0,51.0,52.0,51.0,53.0,55.0,54.0,54.0,52.0,53.0,49.0,53.0,53.0,53.0,51.0,50.0,52.0,51.0,55.0,52.0,54.0,52.0,53.0,52.0,53.0,51.0,54.0,53.0,52.0,54.0,52.0,52.0
34,52.0,53.0,52.0,50.0,52.0,54.0,52.0,48.0,51.0,52.0,51.0,51.0,53.0,50.0,52.0,53.0,53.0,52.0,52.0,54.0,52.0,52.0,53.0,53.0,54.0,52.0,51.0,51.0,53.0,54.0,53.0,51.0,52.0,51.0,51.0,51.0,55.0,54.0,53.0,54.0,54.0,51.0,54.0,52.0,52.0,53.0,51.0,53.0,52.0,53.0
35,53.0,53.0,50.0,52.0,53.0,51.0,52.0,54.0,52.0,54.0,52.0,52.0,51.0,52.0,53.0,51.0,52.0,53.0,52.0,52.0,55.0,54.0,53.0,51.0,53.0,51.0,53.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,52.0,52.0,53.0,52.0,53.0,53.0,51.0,53.0,55.0,51.0,52.0,50.0,54.0,53.0,52.0
36,51.0,54.0,51.0,54.0,53.0,52.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,53.0,53.0,52.0,55.0,53.0,52.0,52.0,53.0,51.0,51.0,52.0,53.0,54.0,52.0,53.0,53.0,53.0,54.0,52.0,53.0,54.0,54.0,50.0,51.0,51.0,54.0,50.0,54.0,53.0,52.0,55.0,53.0,55.0,52.0,55.0,52.0,53.0
37,52.0,53.0,52.0,55.0,51.0,54.0,51.0,52.0,51.0,53.0,53.0,52.0,52.0,51.0,55.0,54.0,53.0,52.0,53.0,50.0,52.0,50.0,52.0,52.0,53.0,52.0,55.0,51.0,52.0,53.0,52.0,54.0,51.0,54.0,52.0,51.0,51.0,53.0,54.0,53.0,53.0,50.0,53.0,51.0,52.0,52.0,52.0,55.0,53.0,53.0
38,55.0,52.0,52.0,53.0,54.0,55.0,53.0,53.0,50.0,53.0,54.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,53.0,51.0,50.0,54.0,53.0,55.0,53.0,54.0,50.0,53.0,51.0,53.0,50.0,53.0,52.0,51.0,52.0,52.0,52.0,54.0,52.0,53.0,53.0,51.0,54.0,52.0,52.0,55.0,52.0,53.0,51.0,53.0
39,50.0,53.0,52.0,52.0,56.0,50.0,52.0,49.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,54.0,53.0,53.0,51.0,53.0,54.0,53.0,52.0,51.0,53.0,54.0,53.0,53.0,53.0,53.0,52.0,53.0,50.0,50.0,52.0,52.0,55.0,51.0,54.0,52.0,55.0,53.0,54.0,56.0,54.0,52.0,54.0,53.0,54.0,52.0
40,52.0,51.0,53.0,52.0,50.0,52.0,53.0,50.0,53.0,55.0,52.0,51.0,49.0,54.0,52.0,52.0,53.0,52.0,53.0,51.0,54.0,52.0,50.0,53.0,52.0,52.0,53.0,53.0,54.0,54.0,52.0,53.0,53.0,52.0,53.0,52.0,54.0,53.0,54.0,55.0,55.0,53.0,51.0,53.0,53.0,53.0,53.0,52.0,54.0,55.0
41,53.0,52.0,51.0,51.0,53.0,53.0,51.0,52.0,54.0,52.0,51.0,52.0,54.0,54.0,52.0,51.0,54.0,53.0,54.0,51.0,51.0,50.0,52.0,52.0,50.0,53.0,50.0,51.0,54.0,53.0,51.0,52.0,50.0,52.0,55.0,50.0,54.0,52.0,53.0,52.0,53.0,53.0,54.0,50.0,54.0,53.0,54.0,51.0,52.0,52.0
42,54.0,53.0,52.0,55.0,52.0,54.0,51.0,50.0,52.0,52.0,52.0,52.0,51.0,54.0,53.0,53.0,54.0,52.0,52.0,53.0,52.0,54.0,52.0,52.0,53.0,53.0,53.0,51.0,54.0,52.0,51.0,51.0,50.0,51.0,53.0,51.0,55.0,53.0,54.0,50.0,50.0,51.0,54.0,54.0,53.0,53.0,51.0,52.0,54.0,52.0
43,54.0,52.0,51.0,52.0,53.0,51.0,52.0,52.0,52.0,53.0,54.0,53.0,53.0,53.0,54.0,54.0,53.0,53.0,52.0,50.0,52.0,52.0,51.0,55.0,53.0,54.0,52.0,53.0,52.0,51.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,51.0,52.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,54.0,50.0,55.0
44,51.0,54.0,51.0,52.0,54.0,52.0,53.0,50.0,54.0,54.0,53.0,52.0,54.0,55.0,54.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0,52.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,54.0,52.0,54.0,52.0,53.0,53.0,55.0,51.0,52.0,51.0,54.0,53.0,52.0,55.0,51.0,52.0
45,53.0,52.0,52.0,53.0,53.0,54.0,54.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,51.0,50.0,54.0,51.0,53.0,55.0,53.0,54.0,52.0,52.0,53.0,51.0,51.0,54.0,53.0,51.0,52.0,52.0,54.0,53.0,55.0,53.0,51.0,52.0,54.0,53.0,51.0,53.0,54.0,52.0,51.0,53.0,52.0,53.0
46,51.0,52.0,53.0,52.0,55.0,54.0,54.0,52.0,53.0,54.0,53.0,51.0,53.0,51.0,53.0,52.0,52.0,51.0,52.0,55.0,53.0,51.0,54.0,53.0,52.0,54.0,53.0,54.0,51.0,54.0,52.0,54.0,51.0,53.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0,54.0,52.0,53.0,54.0,53.0,53.0,54.0,53.0,53.0
47,52.0,53.0,52.0,54.0,52.0,53.0,52.0,50.0,52.0,51.0,52.0,52.0,53.0,55.0,52.0,54.0,51.0,51.0,52.0,54.0,52.0,51.0,52.0,54.0,54.0,52.0,52.0,52.0,51.0,53.0,52.0,52.0,53.0,53.0,52.0,51.0,51.0,53.0,53.0,54.0,53.0,53.0,51.0,55.0,52.0,54.0,53.0,53.0,55.0,51.0
48,53.0,53.0,52.0,54.0,52.0,56.0,51.0,52.0,53.0,55.0,54.0,52.0,53.0,52.0,51.0,51.0,52.0,52.0,52.0,52.0,53.0,53.0,51.0,52.0,51.0,52.0,53.0,52.0,52.0,52.0,54.0,53.0,52.0,52.0,53.0,51.0,53.0,52.0,53.0,52.0,54.0,53.0,54.0,53.0,52.0,53.0,52.0,54.0,52.0,55.0
49,55.0,54.0,53.0,53.0,52.0,53.0,52.0,50.0,53.0,53.0,53.0,51.0,54.0,54.0,55.0,55.0,53.0,52.0,53.0,53.0,53.0,54.0,51.0,52.0,54.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,51.0,53.0,53.0,51.0,53.0,52.0,52.0,53.0,52.0,53.0,51.0
50,52.0,52.0,52.0,53.0,52.0,51.0,52.0,52.0,54.0,53.0,53.0,50.0,52.0,55.0,53.0,51.0,53.0,50.0,53.0,53.0,53.0,52.0,51.0,52.0,54.0,54.0,52.0,51.0,53.0,55.0,52.0,54.0,53.0,53.0,53.0,51.0,50.0,54.0,51.0,52.0,54.0,52.0,52.0,54.0,53.0,50.0,55.0,53.0,53.0,51.0
51,51.0,53.0,51.0,53.0,54.0,53.0,52.0,53.0,53.0,54.0,53.0,53.0,55.0,52.0,52.0,50.0,53.0,52.0,51.0,53.0,51.0,50.0,53.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,51.0,53.0,54.0,52.0,54.0,54.0,54.0,53.0,55.0,52.0,53.0,53.0,55.0,54.0,54.0,53.0,53.0,52.0,53.0,54.0
52,53.0,54.0,53.0,51.0,53.0,54.0,51.0,51.0,51.0,53.0,52.0,52.0,53.0,52.0,54.0,53.0,52.0,52.0,54.0,52.0,53.0,53.0,52.0,53.0,54.0,53.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,51.0,54.0,53.0,55.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,54.0,55.0,50.0
