,event_0,event_1,event_2,event_3,event_4
time_epoch,1614056698.9060116,1614056828.7964408,1614057001.882341,1614057099.2119079,1614057302.722548
0,52.0,53.0,53.0,54.0,53.0
1,54.0,54.0,51.0,53.0,54.0
2,51.0,52.0,52.0,52.0,53.0
3,51.0,53.0,53.0,54.0,53.0
4,54.0,49.0,53.0,52.0,52.0
5,52.0,52.0,54.0,52.0,54.0
6,53.0,51.0,53.0,55.0,53.0
7,52.0,53.0,53.0,51.0,52.0
8,52.0,51.0,53.0,53.0,52.0
9,52.0,52.0,53.0,52.0,52.0
10,52.0,52.0,52.0,54.0,50.0
11,52.0,52.0,53.0,52.0,52.0
12,52.0,52.0,51.0,53.0,52.0
13,50.0,53.0,54.0,52.0,52.0
14,52.0,49.0,55.0,53.0,52.0
15,52.0,52.0,53.0,52.0,53.0
16,51.0,51.0,53.0,52.0,51.0
17,53.0,51.0,52.0,54.0,52.0
18,52.0,53.0,51.0,52.0,52.0
19,51.0,52.0,52.0,55.0,51.0
20,51.0,52.0,52.0,52.0,52.0
21,53.0,52.0,53.0,53.0,50.0
22,52.0,51.0,50.0,53.0,51.0
23,52.0,51.0,51.0,53.0,53.0
24,54.0,51.0,53.0,52.0,52.0
25,51.0,53.0,51.0,51.0,52.0
26,52.0,52.0,50.0,53.0,51.0
27,52.0,52.0,51.0,52.0,54.0
28,51.0,52.0,51.0,51.0,52.0
29,52.0,51.0,55.0,53.0,54.0
30,51.0,52.0,52.0,53.0,53.0
31,54.0,50.0,50.0,54.0,53.0
32,53.0,54.0,51.0,53.0,52.0
33,53.0,52.0,53.0,52.0,51.0
34,54.0,53.0,53.0,54.0,54.0
35,53.0,53.0,54.0,52.0,51.0
36,53.0,52.0,52.0,52.0,52.0
37,51.0,54.0,53.0,52.0,52.0
38,52.0,51.0,56.0,50.0,52.0
39,54.0,50.0,54.0,54.0,53.0
40,52.0,53.0,53.0,50.0,52.0
41,53.0,50.0,53.0,50.0,55.0
42,52.0,50.0,55.0,52.0,51.0
43,54.0,54.0,54.0,52.0,54.0
44,53.0,52.0,52.0,52.0,54.0
45,54.0,54.0,54.0,51.0,51.0
46,52.0,53.0,55.0,54.0,52.0
47,53.0,52.0,53.0,52.0,52.0
48,52.0,52.0,55.0,54.0,54.0
49,51.0,52.0,52.0,53.0,52.0
50,51.0,52.0,52.0,51.0,52.0
51,50.0,52.0,54.0,52.0,54.0
52,52.0,53.0,52.0,52.0,52.0
53,52.0,52.0,53.0,51.0,52.0
54,53.0,52.0,54.0,52.0,53.0
55,51.0,52.0,52.0,51.0,50.0
56,53.0,52.0,51.0,53.0,52.0
57,52.0,54.0,51.0,53.0,53.0
58,52.0,54.0,52.0,53.0,52.0
59,53.0,52.0,54.0,54.0,51.0
60,53.0,52.0,52.0,52.0,52.0
61,53.0,54.0,52.0,53.0,53.0
62,50.0,52.0,53.0,51.0,52.0
63,51.0,52.0,54.0,51.0,52.0
64,53.0,51.0,53.0,52.0,51.0
65,50.0,52.0,53.0,51.0,50.0
66,51.0,53.0,52.0,51.0,52.0
67,52.0,52.0,52.0,53.0,53.0
68,53.0,52.0,53.0,54.0,54.0
69,53.0,51.0,54.0,54.0,53.0
70,51.0,53.0,53.0,53.0,52.0
71,53.0,54.0,53.0,52.0,53.0
72,53.0,52.0,54.0,52.0,52.0
73,53.0,52.0,54.0,52.0,53.0
74,52.0,53.0,53.0,53.0,50.0
75,52.0,53.0,53.0,53.0,51.0
