,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
time_epoch,1613789890.1708567,1613789892.341981,1613789894.509105,1613789896.6692286,1613789898.8323522,1613789901.0004761,1613789903.1666002,1613789905.3337243,1613789907.500848,1613789909.667972
0,53.0,51.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,53.0
1,53.0,52.0,52.0,52.0,51.0,54.0,52.0,53.0,52.0,52.0
2,53.0,51.0,53.0,50.0,52.0,52.0,54.0,55.0,52.0,52.0
3,52.0,52.0,52.0,51.0,51.0,52.0,53.0,53.0,52.0,52.0
4,52.0,52.0,53.0,52.0,53.0,50.0,51.0,53.0,54.0,53.0
5,53.0,52.0,52.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0
6,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0
7,52.0,53.0,52.0,53.0,54.0,52.0,53.0,54.0,52.0,53.0
8,53.0,53.0,51.0,53.0,53.0,53.0,53.0,53.0,52.0,54.0
9,54.0,53.0,53.0,51.0,53.0,53.0,52.0,53.0,53.0,54.0
10,52.0,52.0,52.0,52.0,54.0,52.0,52.0,53.0,51.0,54.0
11,53.0,51.0,53.0,51.0,53.0,55.0,53.0,54.0,52.0,51.0
12,53.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,54.0,53.0
13,52.0,54.0,53.0,52.0,52.0,51.0,53.0,51.0,51.0,52.0
14,52.0,52.0,55.0,51.0,53.0,50.0,52.0,53.0,52.0,52.0
15,52.0,50.0,52.0,52.0,54.0,52.0,53.0,53.0,53.0,51.0
16,50.0,53.0,53.0,52.0,53.0,51.0,52.0,52.0,52.0,52.0
17,52.0,52.0,52.0,53.0,53.0,54.0,52.0,53.0,53.0,53.0
18,53.0,52.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,51.0
19,51.0,54.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0
20,51.0,52.0,51.0,53.0,54.0,53.0,53.0,52.0,52.0,53.0
21,52.0,52.0,53.0,51.0,54.0,54.0,53.0,52.0,53.0,53.0
22,51.0,51.0,52.0,52.0,53.0,54.0,52.0,54.0,54.0,54.0
23,52.0,52.0,53.0,51.0,53.0,53.0,53.0,53.0,53.0,54.0
24,52.0,51.0,53.0,51.0,53.0,53.0,52.0,52.0,54.0,53.0
25,54.0,53.0,55.0,54.0,52.0,53.0,52.0,54.0,52.0,53.0
26,52.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,53.0
27,53.0,52.0,52.0,52.0,52.0,53.0,51.0,53.0,51.0,52.0
28,50.0,53.0,50.0,52.0,51.0,53.0,53.0,53.0,55.0,54.0
29,52.0,54.0,52.0,51.0,52.0,50.0,54.0,53.0,52.0,52.0
30,51.0,51.0,53.0,52.0,52.0,51.0,50.0,51.0,52.0,52.0
31,49.0,53.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0
32,54.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0
33,49.0,52.0,53.0,54.0,54.0,53.0,52.0,53.0,55.0,51.0
