,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
time_epoch,1616974691.6682632,1616974693.819386,1616974695.9745092,1616974698.1776354,1616974700.3287585,1616974702.4798815,1616974704.6320045,1616974706.7841277,1616974708.9372509,1616974711.0873737,1616974713.239497,1616974715.39262,1616974717.545743,1616974719.6968663,1616974721.8489895,1616974724.0011125,1616974726.1532357,1616974728.3023586,1616974730.4554815,1616974732.680609,1616974734.832732,1616974736.984855,1616974739.1369781,1616974741.2961016,1616974743.4482248,1616974745.5993478,1616974747.752471,1616974749.9045942,1616974752.0567172,1616974754.2088401,1616974756.3619635,1616974758.5650892,1616974760.7152123,1616974762.8673353,1616974765.0174584,1616974767.1695817,1616974769.3207045,1616974771.4708276,1616974773.6219506,1616974775.7910748,1616974777.9431977,1616974780.095321,1616974782.249444,1616974784.400567,1616974786.5546904,1616974788.7048132,1616974790.8579364,1616974793.0110598,1616974795.168183,1616974797.319306,1616974799.471429,1616974801.6225522,1616974803.7766752,1616974805.9267983,1616974808.0789216,1616974810.2300444,1616974812.3821676,1616974814.5332904,1616974816.6864138,1616974818.88954,1616974821.0406628,1616974823.194786,1616974825.3469093,1616974827.4990323,1616974829.6521554,1616974831.8032784,1616974833.9544013,1616974836.1085246,1616974838.2596478,1616974840.4117708,1616974842.563894,1616974844.716017,1616974846.86714,1616974849.019263,1616974851.1723864,1616974853.3245091,1616974855.4766324,1616974857.6357558,1616974859.7888792,1616974861.9410021,1616974864.0951254,1616974866.2462485,1616974868.3983717,1616974870.5494945,1616974872.7026176,1616974874.8537407,1616974877.0058637,1616974879.2109902,1616974881.364113,1616974883.5232365,1616974885.6743596,1616974887.827483,1616974889.9806058,1616974892.133729,1616974894.2848523,1616974896.434975,1616974898.5870981,1616974900.7382214,1616974902.8913443,1616974905.0414674
0,51.0,52.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,54.0,53.0,50.0,52.0,54.0,52.0,51.0,53.0,52.0,51.0,53.0,51.0,53.0,51.0,51.0,51.0,53.0,51.0,55.0,51.0,51.0,54.0,54.0,54.0,50.0,52.0,53.0,51.0,52.0,55.0,51.0,52.0,53.0,52.0,51.0,53.0,53.0,53.0,54.0,52.0,53.0,50.0,52.0,53.0,52.0,50.0,50.0,53.0,53.0,52.0,51.0,54.0,52.0,52.0,52.0,53.0,54.0,50.0,50.0,54.0,54.0,52.0,52.0,52.0,51.0,53.0,51.0,51.0,52.0,52.0,55.0,53.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,53.0,52.0,53.0,54.0,52.0,51.0,53.0,52.0,52.0,52.0,52.0
1,53.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,55.0,55.0,54.0,53.0,53.0,52.0,53.0,54.0,56.0,53.0,52.0,54.0,52.0,52.0,50.0,55.0,51.0,55.0,52.0,53.0,51.0,53.0,52.0,52.0,53.0,53.0,54.0,51.0,52.0,51.0,53.0,53.0,54.0,52.0,53.0,54.0,51.0,54.0,52.0,53.0,54.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,48.0,51.0,55.0,51.0,53.0,52.0,53.0,53.0,55.0,54.0,52.0,54.0,52.0,55.0,52.0,52.0,53.0,51.0,53.0,53.0,52.0,55.0,50.0,52.0,54.0,53.0,53.0,55.0,52.0,54.0,54.0,54.0,52.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0,52.0,51.0,53.0
2,55.0,53.0,50.0,53.0,52.0,55.0,52.0,53.0,52.0,52.0,53.0,51.0,54.0,54.0,52.0,54.0,56.0,54.0,53.0,51.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,52.0,51.0,52.0,52.0,51.0,53.0,51.0,52.0,52.0,52.0,53.0,54.0,54.0,53.0,53.0,51.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,52.0,53.0,54.0,54.0,53.0,52.0,53.0,51.0,53.0,51.0,55.0,53.0,53.0,52.0,53.0,54.0,54.0,54.0,53.0,54.0,50.0,51.0,51.0,50.0,51.0,53.0,54.0,54.0,52.0,51.0,54.0,52.0,52.0,51.0,52.0,54.0,53.0,53.0,51.0,53.0,55.0,53.0,54.0,51.0,50.0
3,51.0,51.0,55.0,54.0,52.0,55.0,53.0,53.0,52.0,53.0,54.0,54.0,54.0,53.0,51.0,52.0,50.0,53.0,51.0,53.0,52.0,52.0,53.0,51.0,51.0,53.0,54.0,52.0,53.0,53.0,51.0,52.0,53.0,54.0,54.0,52.0,51.0,52.0,52.0,55.0,52.0,53.0,54.0,53.0,51.0,54.0,52.0,52.0,53.0,54.0,54.0,51.0,53.0,53.0,53.0,52.0,52.0,55.0,51.0,54.0,53.0,53.0,51.0,50.0,53.0,55.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,53.0,53.0,51.0,54.0,54.0,53.0,54.0,52.0,54.0,53.0,51.0,50.0,52.0,52.0,53.0,53.0,52.0,52.0,52.0,54.0,54.0,51.0,54.0,52.0,53.0,53.0,52.0
4,53.0,53.0,53.0,51.0,50.0,51.0,52.0,54.0,53.0,54.0,52.0,52.0,53.0,55.0,52.0,52.0,52.0,54.0,50.0,54.0,53.0,51.0,52.0,53.0,52.0,53.0,53.0,51.0,52.0,54.0,52.0,51.0,53.0,52.0,53.0,54.0,51.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,51.0,54.0,53.0,52.0,52.0,50.0,54.0,53.0,54.0,53.0,51.0,52.0,52.0,49.0,53.0,54.0,52.0,52.0,52.0,52.0,53.0,54.0,54.0,51.0,53.0,52.0,52.0,53.0,52.0,54.0,50.0,52.0,51.0,51.0,53.0,51.0,55.0,54.0,52.0,53.0,52.0,53.0,52.0,51.0,52.0,53.0,51.0,51.0,54.0,53.0,52.0,54.0,54.0,53.0,51.0,53.0
5,54.0,54.0,52.0,54.0,51.0,53.0,51.0,53.0,51.0,53.0,53.0,51.0,51.0,53.0,52.0,53.0,55.0,54.0,52.0,51.0,53.0,52.0,52.0,51.0,51.0,52.0,50.0,51.0,52.0,53.0,53.0,52.0,54.0,52.0,52.0,51.0,52.0,53.0,54.0,54.0,51.0,51.0,53.0,52.0,53.0,52.0,52.0,54.0,53.0,52.0,53.0,52.0,53.0,51.0,53.0,51.0,51.0,52.0,51.0,52.0,51.0,52.0,52.0,53.0,51.0,53.0,54.0,54.0,51.0,54.0,52.0,52.0,52.0,54.0,53.0,49.0,53.0,52.0,52.0,52.0,53.0,53.0,52.0,51.0,51.0,50.0,55.0,53.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,53.0,52.0
6,53.0,53.0,52.0,53.0,56.0,53.0,51.0,52.0,52.0,51.0,53.0,53.0,51.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,52.0,53.0,53.0,53.0,51.0,53.0,54.0,53.0,52.0,51.0,52.0,52.0,50.0,52.0,52.0,54.0,51.0,52.0,54.0,53.0,52.0,55.0,53.0,53.0,55.0,53.0,52.0,52.0,53.0,54.0,55.0,52.0,52.0,54.0,53.0,53.0,51.0,53.0,52.0,53.0,53.0,54.0,51.0,53.0,52.0,54.0,53.0,55.0,53.0,52.0,53.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,51.0,52.0,53.0,53.0,55.0,53.0,52.0,53.0,53.0,55.0,53.0,51.0,53.0,50.0
7,55.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,51.0,53.0,53.0,53.0,53.0,53.0,51.0,52.0,51.0,54.0,53.0,53.0,52.0,52.0,51.0,55.0,53.0,51.0,55.0,53.0,53.0,52.0,52.0,52.0,54.0,53.0,52.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,51.0,50.0,53.0,52.0,53.0,54.0,53.0,55.0,54.0,50.0,53.0,51.0,53.0,53.0,51.0,53.0,53.0,53.0,51.0,51.0,51.0,54.0,53.0,52.0,54.0,52.0,52.0,54.0,51.0,52.0,54.0,52.0,51.0,52.0,54.0,52.0,53.0,52.0,52.0,50.0,52.0,51.0,54.0,52.0,53.0,52.0,52.0,53.0,54.0,52.0,54.0,53.0,53.0,53.0
8,53.0,54.0,51.0,54.0,52.0,52.0,52.0,55.0,54.0,53.0,53.0,54.0,52.0,54.0,53.0,52.0,52.0,51.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0,54.0,53.0,51.0,52.0,52.0,53.0,53.0,53.0,52.0,51.0,52.0,52.0,53.0,51.0,53.0,52.0,54.0,53.0,55.0,52.0,54.0,51.0,52.0,54.0,51.0,53.0,51.0,53.0,52.0,51.0,48.0,52.0,54.0,51.0,52.0,50.0,52.0,49.0,51.0,51.0,54.0,51.0,52.0,53.0,51.0,51.0,53.0,53.0,52.0,54.0,53.0,55.0,52.0,53.0,53.0,53.0,51.0,51.0,51.0,54.0,53.0,53.0,52.0,53.0,52.0,53.0,50.0,51.0,52.0,51.0,52.0,53.0,52.0
