,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
time_epoch,1616976005.8964326,1616976008.055556,1616976010.2086794,1616976012.3608024,1616976014.5119255,1616976016.6660488,1616976018.8691747,1616976021.021298,1616976023.178421,1616976025.3315444,1616976027.4836674,1616976029.6357906,1616976031.7879138,1616976033.9420366,1616976036.0951598,1616976038.249283,1616976040.4014063,1616976042.5525293,1616976044.7026525,1616976046.8557756,1616976049.0068984,1616976051.1600215,1616976053.3191452,1616976055.4712682,1616976057.6233912,1616976059.7745142,1616976061.9346378,1616976064.086761,1616976066.2378838,1616976068.390007,1616976070.5431304,1616976072.6962535,1616976074.8473763,1616976076.9974995,1616976079.2006254,1616976081.3557487,1616976083.5138721,1616976085.6659954,1616976087.8181183,1616976089.9672413,1616976092.1223645,1616976094.2754877,1616976096.4276109,1616976098.579734,1616976100.7388575,1616976102.8909802,1616976105.0431035,1616976107.1962268,1616976109.3553503,1616976111.5074735,1616976113.6605964,1616976115.8207202,1616976117.973843,1616976120.125966,1616976122.2780893,1616976124.4292123,1616976126.5823355,1616976128.7354589,1616976130.888582,1616976133.0427048,1616976135.1958282,1616976137.3479514,1616976139.5510774,1616976141.7052004,1616976143.862324,1616976146.0154471,1616976148.16757,1616976150.3226933,1616976152.4738164,1616976154.63194,1616976156.7860632,1616976158.9381862,1616976161.0893092,1616976163.238432,1616976165.3895552,1616976167.5416784,1616976169.6928012,1616976171.8449244,1616976173.9970477,1616976176.1501706,1616976178.3022938,1616976180.4534166,1616976182.6045399,1616976184.7566628,1616976186.9097862,1616976189.0709097,1616976191.2230327,1616976193.3741558,1616976195.527279,1616976197.729405,1616976199.880528,1616976202.034651,1616976204.1867743,1616976206.3378973,1616976208.4890203,1616976210.6401434,1616976212.7942667,1616976214.9453895,1616976217.0975127,1616976219.257636
0,52.0,53.0,54.0,53.0,52.0,52.0,53.0,53.0,51.0,51.0,54.0,53.0,52.0,53.0,54.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,54.0,54.0,53.0,53.0,54.0,53.0,53.0,51.0,53.0,52.0,55.0,50.0,53.0,53.0,51.0,51.0,55.0,52.0,52.0,52.0,56.0,55.0,53.0,52.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,52.0,52.0,50.0,52.0,52.0,53.0,53.0,51.0,52.0,54.0,53.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,51.0,53.0,52.0,53.0,53.0,54.0,52.0,53.0,51.0,51.0,54.0,51.0,53.0,49.0,53.0,53.0,52.0,49.0,53.0,53.0
1,52.0,52.0,53.0,52.0,53.0,52.0,53.0,56.0,53.0,51.0,51.0,54.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,54.0,55.0,51.0,52.0,53.0,54.0,53.0,54.0,51.0,53.0,52.0,53.0,51.0,52.0,52.0,55.0,54.0,54.0,51.0,52.0,55.0,52.0,53.0,55.0,53.0,51.0,51.0,52.0,54.0,54.0,54.0,55.0,54.0,50.0,52.0,51.0,51.0,52.0,53.0,52.0,56.0,53.0,50.0,51.0,53.0,51.0,54.0,51.0,54.0,54.0,52.0,52.0,50.0,53.0,53.0,53.0,52.0,53.0,53.0,50.0,52.0,53.0,53.0,55.0,53.0,53.0,53.0,52.0,52.0,56.0,54.0,53.0,53.0,53.0,52.0,52.0,54.0
2,51.0,50.0,53.0,53.0,53.0,52.0,55.0,53.0,51.0,52.0,53.0,52.0,54.0,55.0,53.0,52.0,53.0,52.0,54.0,52.0,53.0,54.0,51.0,53.0,54.0,54.0,51.0,53.0,53.0,54.0,54.0,51.0,52.0,54.0,52.0,51.0,53.0,53.0,54.0,55.0,54.0,52.0,52.0,53.0,54.0,53.0,53.0,54.0,52.0,52.0,52.0,53.0,53.0,49.0,54.0,53.0,54.0,52.0,53.0,53.0,54.0,54.0,52.0,51.0,53.0,53.0,54.0,54.0,53.0,54.0,53.0,51.0,52.0,51.0,54.0,53.0,54.0,54.0,52.0,52.0,54.0,53.0,56.0,52.0,53.0,53.0,53.0,52.0,52.0,56.0,54.0,52.0,52.0,56.0,54.0,52.0,52.0,52.0,52.0,52.0
3,52.0,53.0,53.0,53.0,52.0,53.0,51.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,49.0,54.0,53.0,51.0,53.0,53.0,53.0,54.0,54.0,53.0,54.0,52.0,51.0,55.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,51.0,54.0,53.0,51.0,51.0,53.0,52.0,52.0,54.0,55.0,53.0,53.0,54.0,53.0,50.0,51.0,53.0,52.0,52.0,50.0,51.0,51.0,51.0,53.0,52.0,53.0,52.0,52.0,51.0,57.0,53.0,54.0,51.0,53.0,52.0,54.0,52.0,53.0,52.0,54.0,52.0,52.0,53.0,52.0,51.0,53.0,53.0,52.0,53.0,53.0,51.0,53.0,51.0,53.0,53.0,53.0,53.0,51.0,50.0,52.0,54.0,54.0,51.0,53.0,52.0
4,52.0,53.0,54.0,55.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,51.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,52.0,54.0,54.0,52.0,54.0,52.0,52.0,54.0,52.0,54.0,52.0,50.0,53.0,53.0,53.0,50.0,51.0,51.0,50.0,55.0,56.0,53.0,52.0,52.0,53.0,54.0,52.0,52.0,52.0,49.0,55.0,53.0,53.0,52.0,53.0,54.0,50.0,53.0,54.0,54.0,50.0,53.0,50.0,55.0,53.0,54.0,53.0,52.0,52.0,53.0,52.0,52.0,54.0,54.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,54.0,53.0,54.0,54.0,54.0,53.0,50.0,51.0,51.0,54.0,52.0,50.0,53.0,50.0,51.0,53.0,52.0
5,54.0,51.0,51.0,53.0,51.0,51.0,53.0,53.0,51.0,52.0,53.0,52.0,51.0,52.0,51.0,53.0,54.0,54.0,54.0,56.0,52.0,54.0,54.0,52.0,54.0,52.0,53.0,54.0,51.0,54.0,52.0,50.0,52.0,52.0,52.0,52.0,54.0,50.0,50.0,52.0,55.0,52.0,53.0,53.0,56.0,53.0,53.0,54.0,50.0,54.0,51.0,53.0,53.0,49.0,56.0,49.0,53.0,54.0,53.0,52.0,50.0,54.0,54.0,52.0,48.0,53.0,54.0,52.0,54.0,51.0,54.0,53.0,54.0,54.0,52.0,51.0,52.0,53.0,49.0,52.0,52.0,52.0,54.0,53.0,54.0,55.0,51.0,53.0,52.0,53.0,52.0,53.0,56.0,56.0,54.0,54.0,52.0,55.0,52.0,51.0
6,51.0,53.0,52.0,54.0,52.0,52.0,54.0,53.0,52.0,51.0,54.0,51.0,53.0,52.0,51.0,52.0,53.0,53.0,52.0,53.0,54.0,52.0,53.0,52.0,54.0,54.0,52.0,52.0,51.0,54.0,55.0,54.0,54.0,53.0,54.0,53.0,51.0,55.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,52.0,56.0,52.0,54.0,52.0,54.0,52.0,50.0,52.0,54.0,53.0,53.0,51.0,50.0,53.0,51.0,54.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0,49.0,51.0,53.0,52.0,52.0,52.0,53.0,52.0,51.0,53.0,52.0,50.0,53.0,50.0,53.0,54.0,53.0,48.0,55.0,52.0,53.0,54.0,53.0,54.0,53.0
7,56.0,54.0,56.0,52.0,54.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,52.0,53.0,55.0,52.0,55.0,52.0,52.0,52.0,51.0,55.0,52.0,54.0,53.0,53.0,54.0,52.0,55.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,54.0,54.0,53.0,53.0,51.0,53.0,50.0,53.0,53.0,53.0,53.0,53.0,51.0,53.0,51.0,52.0,54.0,50.0,55.0,53.0,53.0,56.0,54.0,51.0,52.0,52.0,53.0,55.0,54.0,53.0,53.0,52.0,52.0,53.0,55.0,51.0,54.0,52.0,55.0,52.0,52.0,51.0,52.0,51.0,53.0,51.0,52.0,53.0,53.0,51.0,51.0,51.0,53.0,53.0,52.0,53.0,52.0
8,54.0,51.0,53.0,52.0,51.0,51.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,54.0,53.0,56.0,56.0,52.0,53.0,50.0,53.0,53.0,50.0,51.0,54.0,51.0,54.0,52.0,52.0,51.0,52.0,53.0,50.0,54.0,54.0,50.0,54.0,52.0,53.0,54.0,53.0,53.0,52.0,49.0,53.0,50.0,52.0,52.0,52.0,53.0,53.0,51.0,51.0,52.0,51.0,52.0,51.0,56.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,55.0,53.0,51.0,51.0,53.0,52.0,52.0,52.0,53.0,52.0,53.0,51.0,52.0,52.0,54.0,53.0,51.0,52.0,53.0,58.0,52.0,52.0,55.0,54.0,53.0,52.0,51.0
9,53.0,53.0,53.0,53.0,53.0,53.0,54.0,53.0,52.0,53.0,52.0,54.0,54.0,52.0,55.0,51.0,54.0,53.0,54.0,52.0,53.0,53.0,56.0,52.0,53.0,53.0,54.0,53.0,53.0,54.0,54.0,54.0,55.0,52.0,52.0,53.0,52.0,54.0,50.0,54.0,53.0,52.0,53.0,52.0,53.0,53.0,54.0,51.0,53.0,54.0,53.0,53.0,54.0,50.0,55.0,53.0,54.0,53.0,51.0,55.0,53.0,52.0,51.0,50.0,49.0,54.0,51.0,54.0,51.0,53.0,54.0,53.0,53.0,52.0,53.0,51.0,53.0,55.0,52.0,52.0,53.0,54.0,54.0,51.0,53.0,53.0,52.0,54.0,51.0,54.0,52.0,54.0,53.0,55.0,51.0,53.0,52.0,52.0,54.0,51.0
