,event_0,event_1,event_2,event_3,event_4
time_epoch,1614490799.334149,1614490801.521274,1614490803.709399,1614490805.9385266,1614490808.1796548
0,52.0,52.0,55.0,50.0,54.0
1,53.0,52.0,52.0,51.0,51.0
2,52.0,50.0,52.0,51.0,53.0
3,52.0,52.0,51.0,51.0,53.0
4,52.0,53.0,50.0,52.0,54.0
5,51.0,53.0,55.0,51.0,54.0
6,52.0,53.0,51.0,50.0,54.0
7,51.0,51.0,51.0,51.0,51.0
8,53.0,51.0,51.0,52.0,54.0
9,52.0,53.0,53.0,53.0,53.0
10,51.0,52.0,53.0,51.0,54.0
11,54.0,51.0,51.0,53.0,53.0
12,52.0,51.0,55.0,53.0,54.0
13,54.0,53.0,53.0,51.0,54.0
14,51.0,53.0,51.0,51.0,54.0
15,51.0,53.0,52.0,55.0,52.0
16,53.0,51.0,50.0,50.0,53.0
17,50.0,52.0,54.0,52.0,54.0
18,53.0,53.0,52.0,53.0,53.0
19,52.0,52.0,52.0,52.0,53.0
20,51.0,53.0,51.0,52.0,52.0
21,54.0,52.0,49.0,51.0,54.0
22,53.0,51.0,54.0,54.0,51.0
23,53.0,51.0,52.0,54.0,54.0
24,54.0,53.0,50.0,52.0,53.0
25,52.0,52.0,52.0,51.0,53.0
26,52.0,50.0,51.0,53.0,51.0
27,50.0,51.0,53.0,55.0,54.0
28,54.0,53.0,51.0,51.0,55.0
29,53.0,49.0,53.0,51.0,53.0
30,51.0,52.0,52.0,54.0,53.0
31,51.0,55.0,52.0,51.0,54.0
32,51.0,51.0,53.0,51.0,54.0
33,52.0,53.0,52.0,54.0,51.0
34,54.0,51.0,55.0,51.0,53.0
35,53.0,52.0,54.0,54.0,55.0
36,53.0,53.0,52.0,53.0,51.0
37,51.0,51.0,54.0,54.0,53.0
38,51.0,55.0,51.0,53.0,54.0
39,53.0,53.0,54.0,52.0,54.0
40,52.0,50.0,54.0,52.0,53.0
41,52.0,52.0,51.0,53.0,54.0
42,51.0,53.0,54.0,53.0,54.0
43,53.0,54.0,53.0,53.0,52.0
44,51.0,51.0,52.0,53.0,54.0
45,54.0,54.0,52.0,52.0,53.0
46,54.0,53.0,52.0,51.0,52.0
47,51.0,51.0,52.0,52.0,53.0
48,54.0,51.0,53.0,50.0,52.0
49,53.0,53.0,53.0,52.0,52.0
50,52.0,55.0,53.0,53.0,56.0
51,53.0,52.0,52.0,53.0,54.0
52,53.0,51.0,53.0,54.0,52.0
53,53.0,54.0,53.0,50.0,52.0
54,51.0,54.0,53.0,53.0,53.0
55,50.0,52.0,52.0,54.0,53.0
56,53.0,54.0,52.0,53.0,52.0
57,53.0,51.0,52.0,52.0,53.0
58,52.0,51.0,52.0,52.0,53.0
59,52.0,52.0,53.0,53.0,52.0
60,53.0,53.0,53.0,53.0,55.0
61,51.0,52.0,54.0,52.0,51.0
62,50.0,52.0,54.0,53.0,51.0
63,55.0,53.0,53.0,52.0,53.0
64,53.0,53.0,53.0,54.0,53.0
65,53.0,54.0,54.0,50.0,52.0
66,52.0,51.0,52.0,50.0,53.0
67,52.0,52.0,52.0,53.0,52.0
68,52.0,53.0,53.0,52.0,53.0
69,50.0,52.0,53.0,53.0,53.0
70,52.0,53.0,51.0,53.0,52.0
71,52.0,52.0,52.0,53.0,54.0
72,53.0,51.0,53.0,52.0,55.0
73,53.0,51.0,51.0,50.0,53.0
74,50.0,51.0,53.0,54.0,53.0
75,53.0,53.0,52.0,51.0,53.0
76,54.0,52.0,53.0,52.0,53.0
77,51.0,54.0,52.0,53.0,55.0
78,52.0,54.0,52.0,52.0,53.0
79,52.0,53.0,53.0,52.0,51.0
80,53.0,52.0,52.0,53.0,53.0
81,50.0,52.0,51.0,51.0,53.0
82,53.0,53.0,51.0,52.0,53.0
83,54.0,53.0,53.0,53.0,51.0
84,51.0,51.0,53.0,53.0,53.0
85,53.0,53.0,51.0,53.0,55.0
86,52.0,55.0,51.0,52.0,49.0
87,52.0,54.0,53.0,52.0,53.0
88,53.0,54.0,55.0,52.0,52.0
89,50.0,52.0,53.0,54.0,52.0
90,53.0,52.0,52.0,51.0,54.0
91,54.0,52.0,53.0,53.0,53.0
92,52.0,52.0,52.0,51.0,53.0
93,53.0,52.0,53.0,53.0,53.0
94,53.0,52.0,52.0,52.0,52.0
95,52.0,52.0,52.0,53.0,52.0
96,51.0,52.0,52.0,52.0,53.0
97,54.0,53.0,51.0,53.0,51.0
98,51.0,51.0,51.0,52.0,51.0
99,54.0,51.0,54.0,52.0,52.0
100,53.0,53.0,52.0,52.0,53.0
101,51.0,51.0,52.0,52.0,49.0
102,50.0,25.0,19.0,48.0,23.0
103,-38.0,-57.0,-127.0,-18.0,-32.0
104,-127.0,-68.0,-127.0,-127.0,-35.0
105,-127.0,-7.0,-127.0,-127.0,2.0
106,-88.0,27.0,-16.0,-62.0,34.0
107,2.0,35.0,22.0,14.0,44.0
108,17.0,47.0,30.0,30.0,48.0
109,34.0,53.0,49.0,42.0,52.0
110,53.0,47.0,47.0,51.0,44.0
111,36.0,38.0,27.0,38.0,43.0
112,23.0,46.0,35.0,29.0,47.0
113,38.0,50.0,49.0,39.0,50.0
114,43.0,47.0,47.0,46.0,52.0
115,43.0,50.0,48.0,47.0,52.0
116,48.0,54.0,52.0,53.0,51.0
117,50.0,55.0,51.0,52.0,51.0
118,51.0,53.0,51.0,53.0,52.0
119,53.0,52.0,47.0,50.0,52.0
120,52.0,51.0,49.0,52.0,50.0
