,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101
time_epoch,1617480327.229909,1617480353.174393,1617480428.894724,1617480649.5133424,1617480742.4916606,1617480744.685786,1617480746.8599105,1617480891.6301908,1617480934.8036604,1617481077.1878042,1617481118.1471467,1617481260.5982945,1617481566.7218037,1617481717.489427,1617481762.7480159,1617482305.9010825,1617482611.893584,1617482629.1255698,1617483051.6707382,1617483071.0668476,1617483306.0062854,1617483409.365197,1617483430.939431,1617483448.1574156,1617483769.279783,1617483836.1236062,1617483969.7572496,1617484290.8156133,1617484346.828817,1617484411.503516,1617484417.9618855,1617484420.1130085,1617484652.8543203,1617485051.6181283,1617485058.0754976,1617485107.6363325,1617485133.46481,1617485152.9029217,1617485267.0694516,1617485288.6426854,1617485372.6504905,1617485486.9080255,1617485499.8287647,1617485575.2430782,1617485650.6353903,1617485691.6347353,1617486245.698426,1617486297.3983831,1617486306.070879,1617486336.211603,1617486609.9772615,1617486653.1397302,1617486810.4677289,1617486957.0301118,1617487038.9367967,1617487159.6036985,1617487388.1507704,1617487519.6242902,1617487597.172726,1617487789.069702,1617487890.3854966,1617488200.7282474,1617488263.2688243,1617488338.6971388,1617488502.4305036,1617488511.0939991,1617488636.0401456,1617488810.6051302,1617488896.8360624,1617488989.4723608,1617489153.3217325,1617489282.583126,1617489586.5085094,1617489730.93377,1617489838.7159348,1617489929.1871095,1617490274.2378452,1617490304.357568,1617490455.3472042,1617490634.2104347,1617490642.8189268,1617490739.7784727,1617490849.6757584,1617490978.972154,1617491000.4903843,1617491239.7120671,1617491431.522038,1617491515.65085,1617491573.8791804,1617491593.2502885,1617491746.2600403,1617491763.5260277,1617491797.952997,1617491953.2398787,1617491987.7588532,1617491989.9109762,1617492229.135659,1617492270.097002,1617492425.2788777,1617492789.552713,1617492888.63038,1617492918.8301075
0,52.0,52.0,52.0,51.0,54.0,54.0,52.0,50.0,52.0,50.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,49.0,54.0,52.0,53.0,55.0,51.0,51.0,50.0,52.0,52.0,52.0,54.0,51.0,52.0,52.0,52.0,54.0,53.0,52.0,53.0,54.0,51.0,53.0,54.0,53.0,54.0,54.0,53.0,55.0,50.0,55.0,53.0,52.0,53.0,53.0,54.0,53.0,53.0,53.0,51.0,54.0,52.0,52.0,54.0,55.0,53.0,52.0,50.0,51.0,51.0,55.0,53.0,52.0,52.0,54.0,53.0,50.0,54.0,53.0,52.0,52.0,52.0,53.0,52.0,54.0,54.0,52.0,52.0,51.0,52.0,52.0,2.0,53.0,53.0,52.0,52.0,51.0,54.0,51.0,52.0,53.0,52.0,52.0,52.0
1,54.0,52.0,51.0,52.0,52.0,52.0,53.0,54.0,50.0,52.0,50.0,53.0,53.0,52.0,53.0,52.0,53.0,54.0,53.0,53.0,52.0,52.0,54.0,51.0,54.0,52.0,53.0,53.0,52.0,54.0,51.0,53.0,53.0,52.0,54.0,54.0,53.0,53.0,54.0,52.0,54.0,53.0,51.0,53.0,53.0,54.0,56.0,51.0,52.0,53.0,54.0,53.0,54.0,52.0,53.0,54.0,52.0,53.0,53.0,53.0,51.0,53.0,48.0,52.0,51.0,54.0,50.0,53.0,50.0,54.0,51.0,54.0,50.0,53.0,54.0,53.0,53.0,53.0,53.0,54.0,50.0,52.0,51.0,51.0,52.0,52.0,54.0,53.0,52.0,88.0,53.0,50.0,53.0,53.0,53.0,53.0,51.0,53.0,51.0,52.0,53.0,52.0
2,51.0,52.0,51.0,51.0,49.0,52.0,55.0,54.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,54.0,54.0,53.0,53.0,53.0,50.0,53.0,53.0,53.0,51.0,51.0,52.0,53.0,52.0,50.0,55.0,53.0,53.0,54.0,53.0,49.0,53.0,53.0,55.0,52.0,55.0,55.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,51.0,52.0,49.0,51.0,52.0,53.0,52.0,54.0,52.0,52.0,52.0,53.0,52.0,51.0,55.0,52.0,52.0,50.0,53.0,52.0,52.0,52.0,53.0,54.0,54.0,54.0,55.0,50.0,53.0,54.0,52.0,53.0,51.0,52.0,53.0,53.0,93.0,54.0,51.0,52.0,53.0,50.0,53.0,52.0,50.0,52.0,54.0,52.0,53.0
3,53.0,54.0,52.0,53.0,52.0,51.0,52.0,51.0,52.0,54.0,52.0,50.0,52.0,51.0,53.0,51.0,52.0,51.0,51.0,52.0,51.0,50.0,54.0,53.0,51.0,52.0,52.0,51.0,53.0,53.0,51.0,53.0,51.0,52.0,54.0,54.0,54.0,54.0,52.0,53.0,54.0,53.0,54.0,52.0,51.0,53.0,52.0,52.0,52.0,54.0,53.0,53.0,51.0,53.0,53.0,52.0,51.0,52.0,51.0,52.0,54.0,54.0,54.0,54.0,53.0,53.0,51.0,53.0,52.0,53.0,52.0,54.0,53.0,53.0,52.0,51.0,53.0,54.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,-1.0,53.0,52.0,53.0,53.0,52.0,49.0,54.0,53.0,53.0,54.0,52.0,54.0
4,52.0,52.0,52.0,53.0,54.0,53.0,53.0,54.0,51.0,54.0,52.0,51.0,53.0,52.0,53.0,53.0,52.0,51.0,53.0,53.0,52.0,54.0,53.0,51.0,55.0,51.0,51.0,50.0,52.0,52.0,51.0,52.0,53.0,50.0,54.0,53.0,53.0,52.0,53.0,51.0,52.0,55.0,51.0,53.0,51.0,54.0,51.0,51.0,53.0,53.0,50.0,53.0,53.0,55.0,52.0,53.0,52.0,51.0,53.0,52.0,52.0,54.0,54.0,54.0,50.0,51.0,54.0,53.0,52.0,52.0,51.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,50.0,49.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,-7.0,53.0,52.0,53.0,52.0,54.0,52.0,55.0,51.0,54.0,51.0,54.0,52.0
5,52.0,53.0,51.0,52.0,53.0,53.0,53.0,55.0,54.0,51.0,53.0,52.0,51.0,51.0,51.0,50.0,55.0,55.0,53.0,53.0,52.0,54.0,54.0,52.0,51.0,53.0,53.0,52.0,53.0,53.0,50.0,49.0,52.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,54.0,53.0,50.0,53.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,52.0,51.0,54.0,51.0,51.0,53.0,52.0,52.0,53.0,54.0,53.0,50.0,53.0,54.0,53.0,51.0,53.0,53.0,52.0,53.0,51.0,52.0,52.0,52.0,53.0,50.0,51.0,54.0,52.0,50.0,61.0,51.0,52.0,52.0,52.0,53.0,52.0,51.0,51.0,52.0,50.0,51.0,52.0
6,53.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,50.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,54.0,52.0,54.0,53.0,47.0,51.0,52.0,52.0,54.0,51.0,51.0,52.0,52.0,52.0,53.0,54.0,53.0,53.0,51.0,54.0,53.0,53.0,56.0,54.0,53.0,51.0,53.0,52.0,50.0,51.0,57.0,55.0,52.0,50.0,53.0,51.0,53.0,52.0,51.0,52.0,54.0,53.0,52.0,53.0,53.0,50.0,51.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,54.0,53.0,55.0,51.0,52.0,52.0,52.0,54.0,53.0,51.0,51.0,52.0,50.0,51.0,51.0,81.0,52.0,52.0,51.0,53.0,53.0,51.0,52.0,53.0,50.0,53.0,52.0,51.0
7,53.0,54.0,49.0,52.0,51.0,53.0,54.0,53.0,52.0,55.0,53.0,51.0,52.0,53.0,52.0,53.0,52.0,53.0,51.0,52.0,52.0,53.0,52.0,53.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,51.0,52.0,53.0,53.0,53.0,54.0,51.0,53.0,55.0,52.0,53.0,53.0,53.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,54.0,50.0,53.0,53.0,54.0,53.0,53.0,52.0,50.0,54.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,52.0,51.0,53.0,55.0,52.0,51.0,54.0,54.0,53.0,52.0,52.0,51.0,54.0,51.0,33.0,52.0,52.0,52.0,53.0,52.0,54.0,51.0,53.0,51.0,53.0,52.0,55.0
8,53.0,52.0,51.0,51.0,54.0,53.0,53.0,54.0,52.0,53.0,52.0,52.0,52.0,53.0,52.0,54.0,53.0,55.0,51.0,50.0,52.0,53.0,54.0,53.0,56.0,54.0,52.0,52.0,54.0,57.0,51.0,52.0,53.0,51.0,53.0,54.0,53.0,52.0,55.0,51.0,55.0,54.0,53.0,53.0,52.0,53.0,52.0,51.0,54.0,51.0,51.0,54.0,52.0,54.0,52.0,53.0,54.0,55.0,54.0,52.0,52.0,54.0,51.0,54.0,52.0,53.0,51.0,53.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,53.0,52.0,53.0,53.0,51.0,54.0,53.0,53.0,53.0,53.0,54.0,13.0,52.0,53.0,53.0,53.0,54.0,54.0,53.0,54.0,55.0,51.0,52.0,51.0
