,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100
time_epoch,1617776098.7363358,1617776189.238512,1617776557.9246,1617776594.5676956,1617776596.7178187,1617776723.9450958,1617776734.7157118,1617776894.186833,1617776963.1857796,1617777394.250435,1617777433.0566547,1617777549.3433058,1617777786.4398668,1617777844.6361957,1617778029.9607954,1617778047.2337835,1617778430.817723,1617778517.0946581,1617778525.7051504,1617778642.0368044,1617778654.950543,1617778820.9520376,1617779129.2376707,1617779163.6996417,1617779267.142558,1617779351.216367,1617779594.7842982,1617779603.3917906,1617779652.9026225,1617779737.0244339,1617779793.0366378,1617779851.278969,1617780142.2956142,1617780385.9055479,1617780480.6969697,1617780868.6151574,1617781142.2948108,1617781226.341618,1617781262.9937143,1617781288.8731947,1617781295.3275638,1617781439.6628194,1617781547.4919868,1617781717.7547255,1617781857.7657335,1617781879.3389673,1617782306.1293783,1617782450.5146368,1617782452.66876,1617782642.315607,1617782734.959906,1617782775.9852526,1617782827.7132113,1617783032.5489273,1617783398.9898865,1617783886.0587451,1617783911.8992233,1617783927.0150876,1617783939.938827,1617783957.1628122,1617784166.351777,1617784739.6715689,1617784983.2455006,1617785050.1013246,1617785168.6871073,1617785252.7519155,1617785287.1918852,1617785401.4534209,1617785867.0340505,1617786293.7734587,1617786295.925582,1617786336.8699236,1617786379.9823895,1617786701.1387584,1617786782.9764392,1617786800.2494273,1617786989.9122756,1617787041.6382341,1617787110.6331804,1617787119.2436728,1617787123.6169229,1617787155.961773,1617787158.115896,1617787270.1193025,1617787571.912564,1617787610.7027826,1617787925.3867815,1617787994.3827279,1617788117.2297544,1617788242.249905,1617788304.7114778,1617788309.0167239,1617788457.7422304,1617788727.2706468,1617788787.6731017,1617788800.5958405,1617788873.8320293,1617788880.290399,1617789080.7698658,1617789203.595891,1617789205.749014
0,52.0,53.0,53.0,52.0,54.0,50.0,51.0,55.0,52.0,53.0,55.0,54.0,50.0,56.0,55.0,52.0,54.0,54.0,53.0,52.0,52.0,53.0,53.0,51.0,51.0,53.0,51.0,51.0,52.0,53.0,54.0,54.0,49.0,52.0,52.0,53.0,54.0,53.0,53.0,53.0,55.0,52.0,52.0,54.0,53.0,50.0,54.0,51.0,52.0,53.0,51.0,54.0,50.0,52.0,52.0,53.0,52.0,52.0,54.0,53.0,52.0,54.0,54.0,53.0,52.0,52.0,53.0,52.0,54.0,52.0,52.0,53.0,54.0,55.0,53.0,52.0,54.0,52.0,53.0,53.0,52.0,52.0,53.0,50.0,51.0,53.0,53.0,51.0,52.0,52.0,51.0,55.0,51.0,53.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0
1,52.0,55.0,52.0,54.0,52.0,53.0,54.0,52.0,52.0,52.0,52.0,52.0,51.0,54.0,55.0,52.0,53.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,52.0,51.0,51.0,52.0,52.0,53.0,55.0,54.0,54.0,52.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,50.0,54.0,54.0,52.0,53.0,53.0,52.0,51.0,52.0,52.0,53.0,50.0,52.0,54.0,52.0,53.0,55.0,52.0,53.0,53.0,55.0,53.0,50.0,52.0,49.0,55.0,54.0,53.0,54.0,53.0,53.0,52.0,53.0,51.0,54.0,55.0,56.0,51.0,51.0,52.0,53.0,51.0,53.0,51.0,52.0,50.0,52.0,54.0,54.0,54.0,52.0,51.0,52.0,53.0,51.0,53.0,52.0,53.0
2,53.0,54.0,53.0,52.0,54.0,53.0,53.0,55.0,53.0,54.0,53.0,52.0,54.0,51.0,52.0,50.0,51.0,56.0,54.0,54.0,52.0,53.0,54.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,51.0,53.0,52.0,52.0,54.0,54.0,53.0,52.0,54.0,53.0,51.0,50.0,50.0,52.0,51.0,52.0,52.0,54.0,51.0,52.0,52.0,54.0,53.0,54.0,51.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,51.0,52.0,53.0,52.0,55.0,51.0,53.0,55.0,52.0,52.0,53.0,50.0,51.0,53.0,52.0,54.0,53.0,53.0,52.0,52.0,53.0,55.0,52.0,54.0,54.0,53.0,54.0,52.0,53.0,53.0,51.0,52.0,52.0,51.0,53.0,53.0,53.0
3,52.0,50.0,53.0,52.0,54.0,53.0,52.0,52.0,53.0,50.0,53.0,54.0,52.0,51.0,51.0,53.0,55.0,52.0,54.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,56.0,53.0,51.0,51.0,53.0,52.0,52.0,53.0,52.0,50.0,54.0,53.0,52.0,52.0,50.0,52.0,54.0,53.0,52.0,50.0,51.0,53.0,56.0,51.0,53.0,52.0,54.0,52.0,51.0,54.0,49.0,51.0,51.0,55.0,54.0,51.0,54.0,55.0,52.0,54.0,53.0,54.0,55.0,51.0,53.0,54.0,51.0,53.0,52.0,50.0,53.0,53.0,52.0,53.0,51.0,53.0,54.0,53.0,53.0,55.0,53.0,53.0,51.0,53.0,52.0,54.0,53.0,53.0,52.0,54.0,51.0,52.0
4,52.0,55.0,51.0,53.0,52.0,54.0,52.0,52.0,52.0,51.0,51.0,54.0,50.0,53.0,54.0,53.0,54.0,53.0,53.0,53.0,53.0,55.0,53.0,54.0,51.0,52.0,52.0,54.0,52.0,52.0,52.0,53.0,51.0,50.0,52.0,50.0,52.0,54.0,52.0,54.0,54.0,51.0,51.0,52.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0,54.0,53.0,55.0,54.0,53.0,52.0,51.0,55.0,55.0,51.0,52.0,54.0,51.0,51.0,52.0,55.0,51.0,53.0,52.0,53.0,54.0,52.0,52.0,54.0,52.0,52.0,52.0,56.0,51.0,51.0,54.0,52.0,54.0,52.0,53.0,54.0,52.0,52.0,52.0,53.0,54.0,55.0,50.0,53.0,50.0,54.0,53.0,52.0,56.0,51.0
5,51.0,53.0,50.0,52.0,52.0,49.0,52.0,54.0,52.0,51.0,53.0,53.0,51.0,52.0,53.0,51.0,53.0,52.0,55.0,53.0,53.0,53.0,54.0,53.0,51.0,51.0,52.0,52.0,52.0,53.0,51.0,51.0,51.0,52.0,51.0,53.0,54.0,53.0,52.0,52.0,54.0,52.0,51.0,53.0,53.0,51.0,53.0,52.0,55.0,53.0,53.0,53.0,54.0,53.0,52.0,53.0,53.0,52.0,52.0,57.0,52.0,53.0,52.0,51.0,53.0,54.0,53.0,51.0,52.0,51.0,50.0,53.0,52.0,53.0,52.0,53.0,52.0,53.0,54.0,55.0,53.0,53.0,51.0,53.0,51.0,51.0,51.0,53.0,55.0,55.0,53.0,53.0,53.0,52.0,52.0,52.0,51.0,49.0,53.0,53.0,53.0
6,52.0,52.0,54.0,54.0,52.0,53.0,52.0,54.0,53.0,53.0,51.0,52.0,53.0,49.0,54.0,52.0,54.0,53.0,54.0,53.0,53.0,55.0,54.0,50.0,52.0,54.0,53.0,52.0,53.0,54.0,54.0,51.0,52.0,51.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,54.0,52.0,52.0,53.0,53.0,55.0,53.0,52.0,53.0,52.0,51.0,53.0,51.0,51.0,54.0,52.0,55.0,52.0,52.0,53.0,55.0,51.0,53.0,53.0,51.0,53.0,51.0,56.0,53.0,53.0,51.0,54.0,54.0,52.0,50.0,54.0,52.0,52.0,54.0,54.0,53.0,52.0,54.0,52.0,53.0,54.0,51.0,52.0,54.0,52.0,49.0,53.0,54.0,53.0,51.0,54.0,51.0,54.0,50.0,53.0
7,53.0,53.0,51.0,53.0,51.0,52.0,52.0,51.0,53.0,54.0,53.0,53.0,53.0,52.0,54.0,51.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,50.0,52.0,52.0,52.0,49.0,53.0,53.0,53.0,54.0,54.0,57.0,53.0,52.0,54.0,54.0,53.0,51.0,52.0,52.0,54.0,53.0,53.0,52.0,51.0,52.0,53.0,51.0,53.0,53.0,52.0,53.0,54.0,53.0,49.0,54.0,52.0,54.0,51.0,52.0,51.0,54.0,53.0,55.0,52.0,53.0,54.0,51.0,54.0,55.0,50.0,56.0,50.0,53.0,54.0,53.0,54.0,52.0,53.0,52.0,54.0,52.0,51.0,54.0,50.0,53.0,52.0,53.0,52.0,52.0,51.0,53.0,52.0,54.0,53.0,53.0
8,52.0,56.0,50.0,53.0,53.0,54.0,53.0,54.0,52.0,53.0,54.0,52.0,52.0,55.0,54.0,52.0,53.0,52.0,54.0,52.0,52.0,52.0,53.0,53.0,50.0,52.0,51.0,51.0,52.0,53.0,53.0,52.0,52.0,52.0,54.0,53.0,55.0,54.0,52.0,52.0,54.0,52.0,52.0,53.0,53.0,52.0,52.0,54.0,52.0,52.0,53.0,54.0,53.0,50.0,50.0,52.0,51.0,51.0,53.0,54.0,52.0,54.0,53.0,51.0,54.0,54.0,50.0,53.0,54.0,52.0,53.0,54.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,55.0,53.0,51.0,52.0,54.0,51.0,51.0,53.0,52.0,49.0,55.0,54.0,52.0,52.0,51.0,52.0,54.0,53.0,52.0,52.0
